Time,Download_NBN100,Download_NBN50,Download_NBN25,Upload_NBN40,Upload_NBN20,Upload_NBN5
01:00,103.2,51.3,26.4,36.4,18.1,4.7
02:00,103.2,51.3,26.4,36.2,17.9,4.4
03:00,103.2,51.3,26.4,36.2,17.9,4.4
04:00,103.2,51.3,26.4,37.5,17.9,4.4
05:00,103.2,51.3,26.4,37.5,17.9,4.4
06:00,102.9,51.1,26.3,36.5,18.1,4.7
07:00,102.9,51.1,26.3,36.5,18.1,4.7
08:00,102.9,51.1,26.3,35.6,17.8,4.4
09:00,102.9,51.1,26.3,35.6,17.8,4.4
10:00,102.9,51.1,26.3,37.4,17.9,4.4
11:00,102.9,51.1,26.3,37.4,17.9,4.4
12:00,102.5,50.7,26.2,36.4,18.0,4.7
13:00,102.5,50.7,26.2,36.4,18.0,4.7
14:00,102.5,50.7,26.2,36.0,17.8,4.4
15:00,102.5,50.7,26.2,36.0,17.8,4.4
16:00,102.5,50.7,26.2,37.1,17.8,4.4
17:00,102.5,50.7,26.2,37.1,17.8,4.4
18:00,102.1,50.5,26.0,36.6,17.9,4.5
19:00,101.8,50.2,25.9,36.6,17.9,4.5
20:00,101.6,50.0,25.8,36.5,17.9,4.5
21:00,101.6,50.3,25.8,36.5,17.9,4.5
22:00,102.2,50.7,26.1,36.7,17.9,4.5
23:00,102.7,51.0,26.2,36.7,17.9,4.5
00:00,103.2,51.3,26.4,36.4,18.1,4.7
